amount,hour_of_day,day_of_week,payment_method,avg_transaction_amount,transaction_amount_deviation,transactions_last_10min,transactions_last_1hour,transactions_today,merchant_risk_score,first_time_merchant,new_device,device_type,location_distance,card_not_present,international_transaction,fraud
11968.4,14,0,0,4655.49,7312.91,4,3,7,5,1,1,1,583.59,1,1,0
7472.32,13,1,2,7933.02,-460.7,1,4,6,7,0,1,1,739.86,1,0,0
6911.42,1,6,0,2071.47,4839.95,0,1,9,8,1,1,0,370.22,1,0,1
6911.51,16,5,2,3106.51,3805.0,2,3,6,4,0,1,0,254.86,0,1,0
23248.57,21,5,2,2385.98,20862.59,1,5,8,8,0,1,0,249.29,0,1,1
14333.53,7,0,1,8632.11,5701.42,0,2,11,7,0,1,1,55.66,0,0,0
5655.39,9,6,1,2323.98,3331.41,4,3,7,3,0,0,1,170.97,1,0,0
12349.07,17,5,0,2837.07,9512.0,0,2,10,8,0,0,1,176.54,1,1,0
9994.8,18,3,1,8996.77,998.03,2,1,12,4,1,0,1,291.45,1,0,0
1079.57,7,2,1,2759.97,-1680.4,0,2,8,2,0,0,0,918.35,1,0,0
3356.21,7,3,1,17366.6,-14010.39,2,5,12,9,0,1,1,435.89,1,1,1
10530.83,2,4,1,2558.19,7972.64,2,3,12,8,0,0,0,709.84,1,1,0
21825.88,2,3,1,10719.75,11106.13,2,1,11,4,0,0,0,522.24,1,0,0
6959.26,11,6,0,5703.65,1255.61,2,1,9,3,1,1,0,552.06,1,0,0
5290.14,21,1,0,2375.8,2914.34,0,5,8,3,0,0,0,289.87,0,0,0
9070.04,16,5,1,2439.34,6630.7,0,2,6,6,0,1,0,119.03,1,1,0
5026.42,3,6,1,10048.75,-5022.33,2,3,3,2,0,0,0,248.28,1,1,0
6588.71,16,5,0,8922.29,-2333.58,2,5,3,3,0,0,1,394.14,1,0,0
8246.51,13,1,2,2225.18,6021.33,2,0,6,1,1,0,1,671.52,0,1,0
3200.69,18,5,0,5430.1,-2229.41,1,5,2,5,0,0,0,382.96,1,1,0
14850.3,8,3,2,1193.52,13656.78,2,3,3,3,0,0,1,907.37,1,0,0
2675.91,20,4,1,7316.61,-4640.7,1,1,14,7,1,1,0,842.02,0,1,0
2363.97,11,0,1,2176.25,187.72,1,2,7,9,1,0,1,103.81,0,0,0
9669.75,4,1,0,5441.92,4227.83,0,3,9,5,0,0,0,548.63,1,1,0
14066.77,10,3,1,15191.97,-1125.2,1,4,7,2,1,1,0,252.45,1,0,0
9489.18,19,6,2,1929.73,7559.45,1,4,6,2,1,0,1,1050.48,1,0,0
7608.9,2,3,2,6468.14,1140.76,0,3,11,4,0,0,1,753.23,0,1,0
6536.91,20,3,0,4859.57,1677.34,2,2,4,9,1,0,0,65.89,1,0,0
5699.55,14,0,2,1776.16,3923.39,1,1,8,2,0,1,1,749.35,1,0,0
17189.0,13,2,0,2746.99,14442.01,1,6,5,5,0,0,0,162.05,1,1,0
10605.22,10,5,0,6869.46,3735.76,1,5,12,7,1,1,1,210.97,1,1,0
6086.59,19,5,2,4249.06,1837.53,0,0,9,4,1,1,0,511.38,0,1,0
